Master Code,Legacy Code,Category,Sub Category,Brand/Short Code,Item Name,Specification,Unit,Base Rate/Price,GST/TAX,HSN Code,Existing Image URL,Suggested Image Path,Suggested Image File,Match Score,Upload Status
MAT-000033,BATH000033,Bathroom Fittings,Bathroom Fitting,Jaquar,Bathroom - Flush System - Concealed Cistern - Jaquar,Bathroom - Flush System - Concealed Cistern - Jaquar,Nos,"?1,850.00",18%,8490 80 90,,item_images/item_14_3_module_concealed_box.jpg,item_14_3_module_concealed_box.jpg,4,READY_FOR_IMAGE_UPLOAD
MAT-000033,BATH000033,Bathroom Fittings,Bathroom Fitting,Jaquar,Bathroom - Flush System - Concealed Cistern - Jaquar,Bathroom - Flush System - Concealed Cistern - Jaquar,Nos,"?1,850.00",18%,8490 80 90,,item_images/item_15_4_module_concealed_box.jpg,item_15_4_module_concealed_box.jpg,4,READY_FOR_IMAGE_UPLOAD
MAT-000033,BATH000033,Bathroom Fittings,Bathroom Fitting,Jaquar,Bathroom - Flush System - Concealed Cistern - Jaquar,Bathroom - Flush System - Concealed Cistern - Jaquar,Nos,"?1,850.00",18%,8490 80 90,,item_images/item_16_6_module_concealed_box.jpg,item_16_6_module_concealed_box.jpg,4,READY_FOR_IMAGE_UPLOAD
MAT-000033,BATH000033,Bathroom Fittings,Bathroom Fitting,Jaquar,Bathroom - Flush System - Concealed Cistern - Jaquar,Bathroom - Flush System - Concealed Cistern - Jaquar,Nos,"?1,850.00",18%,8490 80 90,,item_images/item_17_8_module_concealed_box.jpg,item_17_8_module_concealed_box.jpg,4,READY_FOR_IMAGE_UPLOAD
MAT-000033,BATH000033,Bathroom Fittings,Bathroom Fitting,Jaquar,Bathroom - Flush System - Concealed Cistern - Jaquar,Bathroom - Flush System - Concealed Cistern - Jaquar,Nos,"?1,850.00",18%,8490 80 90,,item_images/item_18_12_module_concealed_box.jpg,item_18_12_module_concealed_box.jpg,4,READY_FOR_IMAGE_UPLOAD
MAT-000335,ELEC000335,Electrical - Enclosures,Electrical,Havells,Enclosure Box IP65 200x150mm - Havells,Enclosure Box IP65 200x150mm - Havells,Nos,?480.00,18%,8536 69 90,,item_images/item_19_gang_box.jpg,item_19_gang_box.jpg,3,READY_FOR_IMAGE_UPLOAD
MAT-000335,ELEC000335,Electrical - Enclosures,Electrical,Havells,Enclosure Box IP65 200x150mm - Havells,Enclosure Box IP65 200x150mm - Havells,Nos,?480.00,18%,8536 69 90,,item_images/item_20_universal_concealed_box.jpg,item_20_universal_concealed_box.jpg,3,READY_FOR_IMAGE_UPLOAD
MAT-000190,CEME000190,Cement,OPC 53 Grade,Ultratech,Cement 50kg Bag - OPC 53 Grade - Ultratech,Cement 50kg Bag - OPC 53 Grade - Ultratech,Bag,?395.00,18%,8414 80 90,,1000303427.jpg,1000303427.jpg,4,READY_FOR_IMAGE_UPLOAD
MAT-000190,CEME000190,Cement,OPC 53 Grade,Ultratech,Cement 50kg Bag - OPC 53 Grade - Ultratech,Cement 50kg Bag - OPC 53 Grade - Ultratech,Bag,?395.00,18%,8414 80 90,,1000303427.jpg,1000303427.jpg,4,READY_FOR_IMAGE_UPLOAD
MAT-000190,CEME000190,Cement,OPC 53 Grade,Ultratech,Cement 50kg Bag - OPC 53 Grade - Ultratech,Cement 50kg Bag - OPC 53 Grade - Ultratech,Bag,?395.00,18%,8414 80 90,,1000303427.jpg,1000303427.jpg,4,READY_FOR_IMAGE_UPLOAD
MAT-000190,CEME000190,Cement,OPC 53 Grade,Ultratech,Cement 50kg Bag - OPC 53 Grade - Ultratech,Cement 50kg Bag - OPC 53 Grade - Ultratech,Bag,?395.00,18%,8414 80 90,,1000303427.jpg,1000303427.jpg,4,READY_FOR_IMAGE_UPLOAD
MAT-000190,CEME000190,Cement,OPC 53 Grade,Ultratech,Cement 50kg Bag - OPC 53 Grade - Ultratech,Cement 50kg Bag - OPC 53 Grade - Ultratech,Bag,?395.00,18%,8414 80 90,,1000303427.jpg,1000303427.jpg,4,READY_FOR_IMAGE_UPLOAD
MAT-000190,CEME000190,Cement,OPC 53 Grade,Ultratech,Cement 50kg Bag - OPC 53 Grade - Ultratech,Cement 50kg Bag - OPC 53 Grade - Ultratech,Bag,?395.00,18%,8414 80 90,,1000303427.jpg,1000303427.jpg,4,READY_FOR_IMAGE_UPLOAD
MAT-000190,CEME000190,Cement,OPC 53 Grade,Ultratech,Cement 50kg Bag - OPC 53 Grade - Ultratech,Cement 50kg Bag - OPC 53 Grade - Ultratech,Bag,?395.00,18%,8414 80 90,,1000303427.jpg,1000303427.jpg,4,READY_FOR_IMAGE_UPLOAD
MAT-000190,CEME000190,Cement,OPC 53 Grade,Ultratech,Cement 50kg Bag - OPC 53 Grade - Ultratech,Cement 50kg Bag - OPC 53 Grade - Ultratech,Bag,?395.00,18%,8414 80 90,,1000303427.jpg,1000303427.jpg,4,READY_FOR_IMAGE_UPLOAD
MAT-000190,CEME000190,Cement,OPC 53 Grade,Ultratech,Cement 50kg Bag - OPC 53 Grade - Ultratech,Cement 50kg Bag - OPC 53 Grade - Ultratech,Bag,?395.00,18%,8414 80 90,,1000303427.jpg,1000303427.jpg,4,READY_FOR_IMAGE_UPLOAD
MAT-000190,CEME000190,Cement,OPC 53 Grade,Ultratech,Cement 50kg Bag - OPC 53 Grade - Ultratech,Cement 50kg Bag - OPC 53 Grade - Ultratech,Bag,?395.00,18%,8414 80 90,,1000303427.jpg,1000303427.jpg,4,READY_FOR_IMAGE_UPLOAD
